期号,开奖时间,开奖结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,红球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,绿球,,,,,,,,,,,
2007029,2007-08-04(六),,,,,,,,,,,,,,,15,,,,,,,22,,,25,,,,29,,,,,,35,,,,,,,,,9,,11,
2007030,2007-08-06(一),,,,,,,,,,,11,,,14,,,,,,,,,,,,,27,,,,,,33,,35,,2,,,,,7,,,,,
2007031,2007-08-08(三),,,3,,,,,,,,,,,,,,,,,,21,,,,,,27,,,,31,32,,,,,,,,,6,,8,,,,
2007032,2007-08-11(六),1,,,,,,,,,,,,13,,,,,,,,21,,23,,,,,,,,,32,,,,,,,4,,,,,,,11,
2007033,2007-08-13(一),1,,,,5,,,8,,,,,,14,,,,,,,,22,,,,,,,,,,,,,,,,3,,,,,,,,,12
2007034,2007-08-15(三),,,,,,6,,8,,,11,,13,,,,,,,,,22,,,,,,,,,,,,,,,2,,,,,,,,,11,
2007035,2007-08-18(六),,,,,,,7,,,,11,,,,,16,,,,,,,,,,,,,,,31,32,,,,1,,,,,,,,,,,12
2007036,2007-08-20(一),,,,,,,,,,,,,,,15,,,18,,,21,,,,,,27,,,,,,,34,,1,2,,,,,,,,,,
2007037,2007-08-22(三),1,,,,,6,7,,,,,,,,,,17,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,11,12
2007038,2007-08-25(六),,,,,,6,,,,,,,,,,,,,,,21,,,,25,,27,,,,,32,,,,,,,,,,,8,9,,,
2007039,2007-08-27(一),,,,,,,,,,10,11,,,,,,,,,20,21,,,,,,,,,,,,,,35,,,,,,,7,,,,11,
2007040,2007-08-29(三),,,,,5,,,,,,,,,,,,,,,,21,,,,25,,,28,,,,,,,35,1,,,4,,,,,,,,
2007041,2007-09-01(六),,,3,,,,,,,,,,,,,16,17,,,,,22,,,,,,,,,,,,,35,1,,,,,,,8,,,,
2007042,2007-09-03(一),,,,,,,7,,,10,,,,,,,,,,,,22,,,,,,,,,31,,,,35,,,,,5,6,,,,,,
2007043,2007-09-05(三),,,,4,,,,,9,,,,,,,,,,,,,22,,24,,,,,,,31,,,,,,2,,,,6,,,,,,
2007044,2007-09-08(六),,,,4,5,,7,,,,,12,,,,,,,,,,,,,,26,,,,,,,,,,1,,,,,,,,,10,,
2007045,2007-09-10(一),,,,,,,,,9,,,,,,,16,,,,20,,,,,,26,,,,,,,,,35,,,,,,,,,,,11,12
2007046,2007-09-12(三),,,,4,,,,,,,,,,,,16,,18,,,,,23,,,,,,,30,,,,,,1,,,,,,,,,10,,
2007047,2007-09-17(一),1,,,,,6,,,,,,,,,15,,,,19,,,,,,,,,,,,,,,,35,,2,,,,,,,9,,,
2007048,2007-09-17(一),,,,,,,,8,,,,,,,,,,,,,,,,,25,26,,,29,,,,,,35,,,,,,6,,8,,,,
2007049,2007-09-19(三),,,,,,,,,9,10,,,,,15,,17,,,,,,,,,,,,,,,32,,,,,,,4,,6,,,,,,
2007050,2007-09-22(六),,,,,,,,,,,,,13,,,,,,,,21,22,,,,,,,,30,,,,,35,1,,,,,,,,,,11,
2007051,2007-09-24(一),,,3,,,,7,,,,,,,,,,,,,,,,,24,,,,28,,,,,,,35,,,,,,,,8,,,11,
2007052,2007-09-26(三),1,,,,,,,,,,,,,14,,,,,,,,,,,,,,,29,,,32,33,,,,,,,5,,,,,10,,
2007053,2007-09-29(六),,,,,,,,,,,11,,,,,16,,,19,,21,,,,25,,,,,,,,,,,1,,,,,,,,,10,,
2007054,2007-10-01(一),,,,4,,,,,,10,,,,,,,,,19,,,,,,,,,,29,,,,,34,,,,3,,,6,,,,,,
2007055,2007-10-03(三),,,,,,,,,,10,,,,,,16,,,,,,,,24,,,,,,,31,,33,,,,,,,,,7,,,10,,
2007056,2007-10-06(六),,,,4,,,,,,,11,,,,,,17,,,20,21,,,,,,,,,,,,,,,,,,,5,,,,9,,,
2007057,2007-10-08(一),,,,,,,,,,,,,,14,,16,,,,,,,,,,,,,,30,,32,,,35,,,,,,6,7,,,,,
2007058,2007-10-10(三),,,,,,,,8,,,,,,,,,,,,,21,,,,25,,,28,,,,,33,,,,2,,,,6,,,,,,
2007059,2007-10-13(六),,,,4,,,,,,,,,,,15,,,,,,,,23,,,,,,,,31,,33,,,,,3,,,,,,9,,,
2007060,2007-10-15(一),,,,,,,,,,,,12,13,,,,,,,,,,,,,,,,29,30,31,,,,,,,,4,,,7,,,,,
2007061,2007-10-17(三),,2,,,,,,,,10,,,,,,,,,19,,,,,,,,,28,29,,,,,,,,2,,,,,,,9,,,
2007062,2007-10-20(六),1,,,4,,,,,,10,,,,14,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,11,12
2007063,2007-10-22(一),,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,31,,33,34,35,,,,,,,7,,,,,12
2007064,2007-10-24(三),,2,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,32,33,,35,,,,,5,,,,,10,,
2007065,2007-10-27(六),,,,,,,,,,,,,,,,,,,19,20,,,,24,,,,,29,,31,,,,,,,,,,,,,9,10,,
2007066,2007-10-29(一),,,,4,,,7,8,,,,,,,,,,,19,,,,,24,,,,,,,,,,,,,,,,,,7,,,,,12
2007067,2007-10-31(三),,,,,,,,,,,11,,,,,,,18,,,,,,,25,,,,,30,31,,,,,,,,4,,,,,9,,,
2007068,2007-11-03(六),,,,4,,,,,9,,,,13,14,,,,,,,,,,,,,,,,,,,33,,,,,,,,6,,,,10,,
2007069,2007-11-05(一),,2,,,,,,,,,,,13,,,16,,,,,21,,,,,,,,,,,,,,35,1,,,,5,,,,,,,
2007070,2007-11-07(三),,,,,,,7,,,,,,,,,,,,,,,,,,,26,,,29,30,,,,,35,,,3,4,,,,,,,,
2007071,2007-11-10(六),,,,,,,,,,10,,,,,,,,,,,,22,,,,,,,,,,32,33,,35,1,,,,,,7,,,,,
2007072,2007-11-12(一),,,,,,,,,,,,,,,,,,,,,21,,,24,,26,27,,,,,,33,,,1,,,,5,,,,,,,
2007073,2007-11-14(三),,,,4,5,,,,9,,,12,,,,,,,,,,,23,,,,,,,,,,,,,,2,,,,,,,,,11,
2007074,2007-11-17(六),,,,,,,,,,,,,,,,16,17,,,,,,23,24,,,,,,,31,,,,,,,,,5,,,,,10,,
2007075,2007-11-19(一),,,,,5,,,,,,11,,,,,,,,,20,,,,,,,,,,30,,32,,,,,,,,,,7,,,,11,
2007076,2007-11-21(三),,2,,,,,,,9,,,12,,,15,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,9,10,,
2007077,2007-11-24(六),,,,4,,6,,,,,,12,13,,,,,,,,,,,24,,,,,,,,,,,,1,,,4,,,,,,,,
2007078,2007-11-26(一),,,,,,,,,9,,,12,,14,,,,,,,,22,23,,,,,,,,,,,,,1,2,,,,,,,,,,
2007079,2007-11-28(三),,,,,,6,,,9,,,,,,,,,,,,,,,,25,26,,,,,31,,,,,,2,,,,,,8,,,,
2007080,2007-12-01(六),1,,,,,,,,,,,,,,15,,,,,20,,,,,25,,27,,,,,,,,,,,,,5,,,,,10,,
2007081,2007-12-03(一),,,,,,6,,,,,,,,,,,,18,,20,,22,,,,,,,,,,,,,35,,,,4,,,,,9,,,
2007082,2007-12-05(三),,,3,,5,,,,,,,,,14,,,,,,,,,,,,,,,,,,,33,34,,,,,,,,7,8,,,,
2007083,2007-12-08(六),1,,,,5,,,,,,,,,,,,,,,20,21,,,24,,,,,,,,,,,,,,3,4,,,,,,,,
2007084,2007-12-10(一),,,,,5,,,,,,11,,,,,,,18,,,,,,,,,,,29,,,,,34,,,,,,,,,,,10,11,
2007085,2007-12-12(三),,,,,,,,,,,,,,,,,17,,,,,,,24,,,,28,29,,,,33,,,,2,,,5,,,,,,,
2007086,2007-12-15(六),,,,,,,,,,,,,,14,,,,18,19,,,,,,,26,,28,,,,,,,,,,3,,,,,,9,,,
2007087,2007-12-17(一),,,,,,,,8,,,,,,,,,,18,,,,,,,,,,,,30,31,,33,,,,,,4,,,,,9,,,
2007088,2007-12-19(三),,,,,,,,,,,,,,,,,17,18,,,21,,23,,,,,,,,,,33,,,,,,,,6,,,,10,,
2007089,2007-12-22(六),,,,,,,,8,,,,,13,,,,,,,,,,,24,,,,,,30,,,,34,,1,,,,,,,,,,,12
2007090,2007-12-24(一),,,,4,,,,,,,,,,,,,,,,20,,,,24,,,,,,,31,,33,,,,,,,,,,,9,,,12
2007091,2007-12-26(三),,,,,,,7,,,,,12,,,,,,,,,,,,,,26,,,,,31,32,,,,,,3,,,,,8,,,,
2007092,2007-12-29(六),,,,,,6,,,,,,,,,,,,,19,,,,,,,,27,28,29,,,,,,,,,,,,6,,,,10,,
2007093,2007-12-31(一),,,,,,6,,8,,,,,,,,16,,,,,,,,,25,,27,,,,,,,,,,,,,,,,8,,,,12
2008001,2008-01-02(三),1,2,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,34,35,,,3,,,,,,,10,,
2008002,2008-01-05(六),1,,,,,,,,,,,12,,,,,,,,,,,,24,,,,,,,31,32,,,,,,,,,,,,,10,,12
2008003,2008-01-07(一),1,,,,,,,,,,11,,13,,,,,,,,,,,,,,,,,,,32,,,35,,2,,,,,7,,,,,
2008004,2008-01-09(三),,,,,,,,,9,,,,,,,,,,,,,22,,24,,,,,,,31,,33,,,,,,,,,,8,9,,,
2008005,2008-01-12(六),,,,,,,,,,,,,,,,,,18,,,,,,,25,,,,29,,31,,,34,,,,,,,,,,9,10,,
2008006,2008-01-14(一),,,,,,,,,,10,,12,,,,,,,,,,,,,,26,,,29,,,,,34,,,,,,5,,7,,,,,
2008007,2008-01-16(三),,,3,4,5,,,,,,,12,,,,,,,,,,,,,,,,28,,,,,,,,,,3,,,,,,,,,12
2008008,2008-01-19(六),,2,,,,6,,8,,,,,,,,,17,,,,,,,,,,,,,,,32,,,,,,,,,,,8,9,,,
2008009,2008-01-21(一),,,,4,,,,8,,,,12,,,,,,,,,,,,24,,,,,,30,,,,,,,,,,5,,,8,,,,
2008010,2008-01-23(三),,,,,,6,,,,,,,,,,,,,,,,,23,24,,,27,,29,,,,,,,,,,,,6,,8,,,,
2008011,2008-01-26(六),,,,,,,,,,,,,,14,,,,,,20,,22,,24,,,27,,,,,,,,,,,,,,,7,,,10,,
2008012,2008-01-28(一),,2,,,,,,,,10,,,,,,,,,,,,,,,,,,,29,,,32,,,35,,2,3,,,,,,,,,
2008013,2008-01-30(三),1,,,,,,,,,,11,,,,,,,,19,,,22,,,,,,,,,,,,,35,,,,,5,,,,9,,,
2008014,2008-02-02(六),,,,4,,,7,,,10,,,,,,,,,,,,,,,,,,28,,,,,,34,,1,,,,,6,,,,,,
2008015,2008-02-04(一),,,,,,,,,9,,,,,,,,,18,,20,,,,,,,27,,,,,,33,,,,,,,,6,,,9,,,
2008016,2008-02-13(三),,,,,,,,8,,10,11,,,,,,17,,19,,,,,,,,,,,,,,,,,,,,,,6,,,9,,,
2008017,2008-02-16(六),,2,,,,,,,,,,,,14,,,,,,,,,,,25,,,,29,,,32,,,,1,,,,,6,,,,,,
2008018,2008-02-18(一),,,3,,,6,7,,,,11,,,,,,,,,,,,,,,,,,,30,,,,,,,2,3,,,,,,,,,
2008019,2008-02-20(三),,,,,,,,8,,,,,,,,,,,,,,,,24,25,,,,29,,31,,,,,,,,4,5,,,,,,,
2008020,2008-02-23(六),,,,4,5,,,,,,,,,,15,,17,,,,,,,,,,,,,,,,33,,,,,,4,,,,8,,,,
2008021,2008-02-25(一),,,,,5,,,,,10,,,13,,,,,,,,21,,,24,,,,,,,,,,,,,,,4,,,,,9,,,
2008022,2008-02-27(三),,,,,,,,,9,,,12,13,,,,,,,,,,,,25,,,,,,31,,,,,,,,,,,,8,,10,,
2008023,2008-03-01(六),,,,,,6,,,,,,,,,,,,,,,,,,,,26,,,,,31,32,,34,,,,,,,,7,,,10,,
2008024,2008-03-03(一),,,,,,,,8,,,,12,,,,,17,,,20,,,,,,,,,,30,,,,,,1,2,,,,,,,,,,
2008025,2008-03-05(三),,,,,,6,,,,10,,12,,,15,,,,,,,,,,,,,28,,,,,,,,,,,4,,,,,,,,12
2008026,2008-03-08(六),1,,,,,,,,,,,,,,,,,,,,21,22,,24,25,,,,,,,,,,,,,,,,,,8,,10,,
2008027,2008-03-10(一),,,,,5,,,,,,,,,,,,17,,,,,,23,,,,,,,,31,32,,,,,,,4,,,,8,,,,
2008028,2008-03-12(三),,,3,,,,,,,,11,,,,,,17,,19,,,,,,,26,,,,,,,,,,,,,,,,7,,,,,12
2008029,2008-03-15(六),,,,,,6,,,,,11,,,,,,,18,,,,,,,,,,,29,30,,,,,,,,,4,,,,,,,11,
2008030,2008-03-17(一),,,3,,,,,,,,,,,,,,,,,,21,,23,,,26,,,,,,,,,35,,,,,5,,,8,,,,
2008031,2008-03-19(三),,,,,,,,,,,,,,14,,,,,,20,,,23,,,,27,28,,,,,,,,,2,,4,,,,,,,,
2008032,2008-03-22(六),,,3,,,,,,9,,,,,,,,,,19,,,,,,,,27,,,,,,33,,,,,,,,,,,9,10,,
2008033,2008-03-24(一),,,3,,,,,,,10,,,,,,,,,,,21,,23,,,,,,,30,,,,,,1,,,,,,,,9,,,
2008034,2008-03-26(三),,,,,,6,7,,,,,,,,,,,18,,,,,,,,,,,,,,,,34,35,,,,,5,,,,,10,,
2008035,2008-03-29(六),,2,,,,,,,,,,12,13,,,,,,,,,,,,,,,,29,30,,,,,,,,,,5,,7,,,,,
2008036,2008-03-31(一),,,,,,,,,9,,,,,,,,,,19,,,22,,,,,,,,30,,32,,,,1,,,,,,,,,10,,
2008037,2008-04-02(三),,,,,,,,,,,11,,,,,,,,,20,,,,24,,,,,,,31,,,,35,,,,4,,,,,,10,,
2008038,2008-04-05(六),,,,,,,,,,,,12,13,,,,,,19,,,,,,,,,,,,,32,33,,,,2,,,,,,,,10,,
2008039,2008-04-07(一),,,,,,,7,,,,11,,,,15,,,,,,,,,,,,27,,,,,,,,35,,,,4,,,7,,,,,
2008040,2008-04-09(三),,,,4,,,,8,,,,,,,,,,,19,,,22,,,,,,,29,,,,,,,,,,,,,,8,,,11,
2008041,2008-04-12(六),,,,,,,7,,,,,,,,,,17,,,,21,22,,,,,,28,,,,,,,,,,,,5,,,,,10,,
2008042,2008-04-14(一),,,,,5,,,,,10,,,13,,,,,,,,,,,,,,,,,,,32,,,35,,,,4,5,,,,,,,
2008043,2008-04-16(三),,,,,5,,,8,,10,,,,,,,,,,,,,,,,,,,,,31,,33,,,,2,,4,,,,,,,,
2008044,2008-04-19(六),,2,,,,,,,,,,,,,,,,,,,21,,23,,,,27,,,,,32,,,,,,,,,,,,,10,11,
2008045,2008-04-21(一),,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,32,33,34,35,,2,,4,,,,,,,,
2008046,2008-04-23(三),,,,,,,,,,,11,,,,,,,,,,,,,,25,26,27,,,,,,,,35,,,,,,,7,8,,,,
2008047,2008-04-26(六),,,,,,,,,,,,12,,,,,,18,,,,22,23,,,,,,,30,,,,,,,,,,,6,,,,,,12
2008048,2008-04-28(一),1,,,,,,,,,,,,13,,,,,,,,,22,,,25,,27,,,,,,,,,,2,,,,,,,,10,,
2008049,2008-04-30(三),1,,,,,,,,,,11,,,14,,,,,,,,,,,,,,28,,30,,,,,,,,3,,,,,,,10,,
2008050,2008-05-03(六),1,,,,5,,,,,,11,,,,,,,,,,,,,,,26,27,,,,,,,,,,,3,,,,7,,,,,
2008051,2008-05-05(一),1,,,,,,7,,9,,11,,,,,,,,,,,,,,,,,,,,,,33,,,,,3,,,,,,,,11,
2008052,2008-05-07(三),,,3,,,,,,,,,,,,,,,18,19,,,,,,,,,,,30,,,,,35,,,,,5,,,,9,,,
2008053,2008-05-10(六),1,,,,,,,,,,,,13,,,,,,,,21,,23,,,,,,,,,32,,,,,,3,,,6,,,,,,
2008054,2008-05-12(一),,,,,5,,,,,,,,,14,,,,,,,,,23,,,,,,,,31,,,,35,,2,,,,6,,,,,,
2008055,2008-05-14(三),,2,,,,,,,,,,,,14,,,,,,,,,,,,,,28,,30,,,,,35,,,,4,,,,,,,,12
2008056,2008-05-17(六),,,,,,,,,,,,,,,15,,,,19,,,,,,25,,,,,30,31,,,,,,,3,,,,,,9,,,
2008057,2008-05-19(一),,,,,5,,,8,9,,,,,,,,17,,,,,,,,,,,,,,,,33,,,,,,,5,6,,,,,,
2008058,2008-05-21(三),,,3,,,,,,9,,11,,,,,,,,,,,,,,,,,,29,,,,33,,,,,3,,,,,,,,,12
2008059,2008-05-24(六),,,,,,,7,,,,,,13,,,,,,,,21,,,,25,,,,,,31,,,,,,,,,,,,8,,10,,
2008060,2008-05-26(一),,,3,,,,,,,,,,13,,,,17,,,,,,23,,,,,,,30,,,,,,1,,,,,,,,,,11,
2008061,2008-05-28(三),,,,,,,7,,,10,,,,14,,,,,19,,,,,,,,,,,,,32,,,,,,3,,,6,,,,,,
2008062,2008-05-31(六),1,,,,,,,,,,,,,,15,,,,,,,,,,,,27,28,29,,,,,,,,,3,,,,,,,10,,
2008063,2008-06-02(一),,,,,,,7,,,,11,,,,,,,,,,,,,24,,,,,,30,,,,,35,,,,,,6,,8,,,,
2008064,2008-06-04(三),,,,,,,,,,,,,,14,,,,18,,,,,,24,,,27,,,,31,,,,,,,,,,6,7,,,,,
2008065,2008-06-07(六),,,,,,,,,,,,,,,,,,,19,,,22,23,,25,,,,,,,32,,,,,,,,,6,,,,,,12
2008066,2008-06-09(一),,2,,,,,7,,,,,,,,,,,,,,21,22,,,25,,,,,,,,,,,,,,4,,,,,,,,12
2008067,2008-06-11(三),,,3,,,,,,,10,,,,14,15,,,,,,,22,,,,,,,,,,,,,,,,,4,,,7,,,,,
2008068,2008-06-14(六),,,,,,6,,,9,,11,,,,,,,,,,,,,,,,,,,,,,33,34,,,,,,,6,,,,10,,
2008069,2008-06-16(一),,,,,5,,,,,,,,13,,,16,,,,,,,,,,,,,29,,,,33,,,,,,,,6,,8,,,,
2008070,2008-06-18(三),,,,,,,,,9,,,,,,,,17,18,,,21,,,,,,,,,,31,,,,,1,,,,5,,,,,,,
2008071,2008-06-21(六),1,,,,5,,,,,,11,,,14,,,,,,,,,,,25,,,,,,,,,,,1,,,,,,,,9,,,
2008072,2008-06-23(一),,,,,,,,,,10,,,,,,,,,,,,,,,25,,,,,,,32,33,34,,,,3,,,,,,9,,,
2008073,2008-06-25(三),,2,,,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,8,,10,,
2008074,2008-06-28(六),,,,,,,,,,10,,,13,,,,,,,,,22,,,,,,,,,31,,,,35,,,,4,,,,,,,,12
2008075,2008-06-30(一),1,,,,,,,,,10,,,13,,,,,,,,,,,,,,,,,30,,,33,,,,,,,,6,7,,,,,
2008076,2008-07-02(三),,,3,,5,,,,,10,,,,,,,,,,,,,,,,,27,,,,,,,34,,1,,,,,,,,,,,12
2008077,2008-07-05(六),1,,,,,,,8,,,,,,,,,,,,,21,,,,,,,,,,,,33,34,,,,,,5,,7,,,,,
2008078,2008-07-07(一),,,,,,,,8,,,,,,,,,17,,,20,,,,,,,,28,,,31,,,,,,,,,,,7,,,,11,
2008079,2008-07-09(三),,,,,,,,,,,,,,,,,,,,20,,,23,,,26,,,,,,32,33,,,,,,,5,,,,,,,12
2008080,2008-07-12(六),,,,,,6,,,9,,,,,,,,,,,,,,,,,,,,29,,31,,33,,,,,,,5,,,,,,11,
2008081,2008-07-14(一),,,,,,,7,8,,,,,,,,,,,,20,,22,,,,,,,29,,,,,,,,,,4,,,7,,,,,
2008082,2008-07-16(三),,,,,,,,,,,,,,,15,,,,19,,,,,,,,,,29,,,,33,,35,1,2,,,,,,,,,,
2008083,2008-07-19(六),,,,,,6,,,,,,,,14,15,,,,,,,,,,,,,,,30,31,,,,,,,3,,,,,,,10,,
2008084,2008-07-21(一),,2,,,,,,,,,,,,,,,17,,,20,,22,,,25,,,,,,,,,,,,,,,5,,,,,,11,
2008085,2008-07-23(三),,,3,,,,7,,,,,,13,,15,,,,19,,,,,,,,,,,,,,,,,,2,,,,,,,,10,,
2008086,2008-07-26(六),1,,,,,6,,,,10,,,,,,,,,,,,22,,,,,,,,,,,,,35,,,3,,,,7,,,,,
2008087,2008-07-28(一),,,,,,,,,,,,,,14,,,,,,,,22,,,,,,,,,,32,33,,35,1,,,,5,,,,,,,
2008088,2008-07-30(三),,,,,,,7,,,,11,,,,,,,,19,,,,,,,,27,,,,31,,,,,,2,3,,,,,,,,,
2008089,2008-08-02(六),,,,,,,,8,,,,,13,,,,,,,,,,,24,,,,,,,,32,33,,,,,3,,,,,,9,,,
2008090,2008-08-04(一),,,,4,,,,,,,11,,,,,,,18,,,,,,,,,,,,,,,33,34,,,2,,,,6,,,,,,
2008091,2008-08-06(三),,,,,,,,,9,,,,13,,,,,,19,,,22,,,25,,,,,,,,,,,,,,4,,,,,,10,,
2008092,2008-08-09(六),,,3,,,,,,,,,,,,,,,,,,,,23,,,26,,,,,,32,,34,,,,,4,,,,,9,,,
2008093,2008-08-11(一),,,,,,6,7,,,10,,,,,,,,,,,,,,24,,,,,,30,,,,,,,,,,5,,,8,,,,
2008094,2008-08-13(三),,,,,,,7,,,,,12,,,,,,,19,,,,,,,,27,,,,,,,34,,,,,,,,,,,,11,12
2008095,2008-08-16(六),,,3,4,,,,,,,11,,,,,,,,,,21,,,,25,,,,,,,,,,,1,,,,,,7,,,,,
2008096,2008-08-18(一),,,,,,6,7,,,,,12,,,,,,,,,,,,,25,,,28,,,,,,,,,2,,,,,,,,,,12
2008097,2008-08-20(三),1,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,31,,33,,35,,,3,,,,,,,10,,
2008098,2008-08-23(六),,,,,,,7,,,10,,,,,,,,,,,,22,,,,,27,,,,,,33,,,,,,4,,,,8,,,,
2008099,2008-08-25(一),,,3,,,,,,,,,,,,,,,18,,,,,23,,25,,,,,30,,,,,,,,,,,6,,,,10,,
2008100,2008-08-27(三),,,,,,,,,,,,12,,,,,,,,20,,,,,,26,,,29,30,,,,,,,2,,,,6,,,,,,
2008101,2008-08-30(六),,,,,,,,,,10,,,13,,,,,,,,,,23,,,,,,,,31,,33,,,,,,4,,,,,,,11,
2008102,2008-09-01(一),,,,,5,,,,,,,,,,,,,,,,,,,,25,26,,,29,,,,,,35,,,3,,,,,,,10,,
2008103,2008-09-03(三),,2,,,,,,,,,11,,,,,,,,,,,22,,,,,,,,30,,,,34,,,,,4,,,,,9,,,
2008104,2008-09-06(六),,,,,,,7,8,,10,,,,,,,,,,,,,,24,,,,,,,,,,34,,,,,,,,,8,,,11,
2008105,2008-09-08(一),,,,,,,,,,,,12,,,,,,,,,21,22,,,,26,,,,,,,,,35,,,,4,5,,,,,,,
2008106,2008-09-10(三),,,3,,5,,,,,,,,,,,,,,,,21,,,,,,,28,,,,,33,,,,2,,,,6,,,,,,
2008107,2008-09-13(六),1,2,,,,,,,,,,,13,,15,16,,,,,,,,,,,,,,,,,,,,,,,4,,,,,9,,,
2008108,2008-09-15(一),,,,,,,,,,,11,,,,,16,,,,,,,,24,,,,,29,,,32,,,,,,,,,,,,9,,11,
2008109,2008-09-17(三),1,,,,,,,,,10,,,,,,,,18,,,,,,,,,,28,,,,,,34,,,,,,5,,,8,,,,
2008110,2008-09-20(六),,,,,5,,,,,,,,,,,16,,,,,,,,,25,,27,,,,,,33,,,,,,4,,,,,9,,,
2008111,2008-09-22(一),,2,,,,,,,,,11,12,,14,,,,,19,,,,,,,,,,,,,,,,,,,,,5,,,,9,,,
